"TOA5","CR1000","CR1000","86011","CR1000.Std.31.03","CPU:106330-2.CR1","29914","TwentyFourHr"
"TIMESTAMP","RECORD","MinAT","MaxAT","TotPrec"
"TS","RN","Deg_C","Deg_C",""
"","","Min","Max","Tot"
"2018-03-20 00:00:00",0,3.2,19.2,0
"2018-03-21 00:00:00",1,-1.6,21.2,0
"2018-03-22 00:00:00",2,0.5,27.3,0
"2018-03-23 00:00:00",3,4.8,32.8,0
"2018-03-24 00:00:00",4,13.4,27.3,0
"2018-03-25 00:00:00",5,11.5,26.2,0.025
"2018-03-26 00:00:00",6,13.4,25.5,0
"2018-03-27 00:00:00",7,12.9,20.3,0
"2018-03-28 00:00:00",8,6.8,19.2,0
"2018-03-29 00:00:00",9,1.7,23.3,0
"2018-03-30 00:00:00",10,4.7,23.9,0
"2018-03-31 00:00:00",11,1.4,27.2,0
"2018-04-01 00:00:00",12,6,31.4,0
"2018-04-02 00:00:00",13,10.2,31.2,0
"2018-04-03 00:00:00",14,10.7,25.9,0
"2018-04-04 00:00:00",15,12.7,29.4,0
"2018-04-05 00:00:00",16,7.5,24.2,0
"2018-04-06 00:00:00",17,7.4,31.9,0
"2018-04-07 00:00:00",18,6.6,31.3,0
"2018-04-08 00:00:00",19,7,28.7,0
"2018-04-09 00:00:00",20,18.2,32.4,0
"2018-04-10 00:00:00",21,10,25.7,0
"2018-04-11 00:00:00",22,8.6,27.1,0
"2018-04-12 00:00:00",23,7.9,31.7,0
"2018-04-13 00:00:00",24,20.9,29.1,0.075
"2018-04-14 00:00:00",25,6.1,22.3,0.05
"2018-04-15 00:00:00",26,0.7,21.3,0
"2018-04-16 00:00:00",27,1,25.1,0
"2018-04-17 00:00:00",28,3.9,30.7,0
"2018-04-18 00:00:00",29,18.5,27.4,0
"2018-04-19 00:00:00",30,5.6,26.8,0
"2018-04-20 00:00:00",31,7.8,25.4,0
"2018-04-21 00:00:00",32,14,21.5,0
"2018-04-22 00:00:00",33,6.7,22,0
"2018-04-23 00:00:00",34,5.1,23.9,0
"2018-04-24 00:00:00",35,7.9,30.8,0
"2018-04-25 00:00:00",36,11.1,36.2,0
"2018-04-26 00:00:00",37,9.1,25.6,0
"2018-04-27 00:00:00",38,7.1,30.5,0
"2018-04-28 00:00:00",39,11.5,23.9,0
"2018-04-29 00:00:00",40,7,29.1,0
"2018-04-30 00:00:00",41,12.3,30.4,0
"2018-05-01 00:00:00",42,18.6,27.3,0
"2018-05-02 00:00:00",43,15.4,26.2,0
"2018-05-03 00:00:00",44,14.4,25.9,0
"2018-05-04 00:00:00",45,6.9,25,0
"2018-05-05 00:00:00",46,7.1,29.3,0
"2018-05-06 00:00:00",47,7.8,32.6,0
"2018-05-07 00:00:00",48,9,32.1,0
"2018-05-08 00:00:00",49,11.7,36.8,0
"2018-05-09 00:00:00",50,19.2,38.5,0
"2018-05-10 00:00:00",51,11.4,41.3,0
"2018-05-11 00:00:00",52,13.2,35.8,0
"2018-05-12 00:00:00",53,19.4,33.2,0
"2018-05-13 00:00:00",54,19.6,32,0
"2018-05-14 00:00:00",55,17.8,29.8,0
